SIG_MEDIAN,SIG_STDD,SIG_IQR,SIG_SCM,SIG_TCM,SIG_KURT,SIG_SKEW,PSD_MAX,PSD_STDD,PSD_IQR,PSD_KURT,PSD_SKEW,LABEL
0.033987805,1.016963201,1.124409686,1.032507527,0.135667083,0.954731107,0.129310755,5.509815837,1.354285876,0.059099581,14.72186842,-1.592253854,walk
-0.03165032,0.974987324,0.353012765,0.949031635,8.173717355,93.73259371,8.840942821,7.277938454,0.858128473,0.13205483,39.68004532,4.368307216,walk
1.388079173,3.693706429,4.523913385,13.61857035,8.972264631,0.584327113,0.178527366,121.9624886,28.34287444,3.067066975,27.46666887,-1.968969488,walk
-0.697679838,1.767860936,2.423833783,3.119629127,-1.045497028,-0.317549889,-0.189744132,22.91378346,6.42845715,0.76034048,61.69158737,-5.756301515,walk
-0.145514941,1.592139283,1.950202522,2.530281752,6.817547914,9.486536191,1.693849709,21.44936775,4.302081131,0.813287754,15.59110337,0.061368248,walk
-0.080032198,1.398941395,0.233617029,1.953465792,60.20220326,504.2944504,22.04975,6.258465108,1.127833368,0.195424756,23.44929841,4.762125636,walk
0.089293462,0.971923423,1.149876318,0.942911353,2.183444547,25.86919343,2.384711627,7.415582056,1.399902925,0.799363178,20.56408757,-0.619687719,walk
0.032962748,0.775088528,1.066404525,0.599665945,-0.193274943,-0.133430053,-0.416209007,5.119074402,1.105711431,0.182518112,31.81072374,-1.922306507,walk
0.907280841,2.731110658,2.947568483,7.443987582,21.83713518,2.70465513,1.075194917,106.2269672,21.83082475,1.089606005,54.82867217,-4.521778083,walk
-0.486984379,2.035389208,2.252174477,4.134490332,6.283387343,0.879670963,0.747413369,74.2204243,11.59980468,0.571131751,29.03329635,0.949264931,walk
0.67439213,1.513990808,1.539577117,2.287565421,-0.352417131,0.212434842,-0.101858371,39.58750157,14.55082844,0.28530787,62.70467747,-6.046015703,walk
0.06288796,0.994460677,0.17916324,0.986966192,20.65610961,458.6017437,21.06663231,0.227631345,0.044710214,0.019736312,8.794625693,1.459141895,walk
-0.480583352,0.828284075,1.031547743,0.684676889,-0.041254666,0.071146396,-0.072818976,8.306119685,1.640568077,0.046732934,16.19793428,0.805961706,walk
-0.444270772,0.736737387,0.890468161,0.541692054,0.484863521,1.877149211,1.216160274,17.39081579,3.810697667,0.016166922,27.31047296,-2.042834817,walk
0.328694986,3.267429194,4.701802752,10.65847622,-10.15799229,-0.205612321,-0.291920906,44.751248,12.44297044,5.876852463,51.27798603,-5.041410693,sit
0.564970077,2.462740666,3.175905019,6.055083185,-5.250044976,0.483601709,-0.352356959,38.91411094,8.953837753,2.826472117,36.3967499,-3.084353895,sit
-0.071147058,1.714740177,0.383606555,2.935481838,118.1337924,566.4573772,23.48848737,0.921475142,0.231992795,0.00829888,5.836665065,1.811830754,sit
-0.017782602,1.388454478,0.219346598,1.92462464,61.07210172,549.5035132,22.87303548,7.601038329,1.353053898,0.19415011,23.69680609,4.817052823,sit
0.880609194,1.236070003,1.783318614,1.525347817,-0.405393972,-0.461390411,-0.215190928,25.7634454,5.835515738,0.182860874,50.39901466,-4.192794635,sit
0.369589866,0.776042507,0.907236473,0.601248175,0.051280158,0.315498447,0.109993925,7.233540374,1.751801461,0.235421611,42.03245656,-3.38504853,sit
0.777589024,3.237679784,3.861226199,10.46430807,-11.61448137,-0.320416345,-0.34311053,87.91521756,15.37464915,0.854608628,29.58323919,-0.282782366,sit
0.519807942,1.603139518,1.63516784,2.565578863,1.310901476,1.37018357,0.319000966,43.59924564,6.447813829,0.324677572,32.2592881,0.847370898,sit
-0.06299671,0.988078205,0.127775252,0.974597671,21.8484189,531.8922446,22.70816077,0.252529612,0.038960519,0.004857794,34.12747459,-0.458734631,sit
-1.281437823,0.621155113,0.661037939,0.38516149,-0.093041634,2.28122797,-0.389236038,7.939412865,1.958194794,0.040943661,56.28552654,-4.890866419,sit
-1.160462058,0.578351968,0.778011203,0.333908262,0.089171467,0.403813419,0.462152349,7.427126006,1.529367368,0.035249408,24.25334108,-1.003640278,sit
0.952157524,0.443072472,0.550247214,0.195971207,-0.029456119,0.383724159,-0.339537013,2.104362454,0.463498626,0.029584722,17.51363889,-0.531590404,sit
-0.089504751,2.553670199,3.036957428,6.511121047,6.50443507,1.159676618,0.391494738,21.0853205,5.883368955,2.300596885,30.71994256,-2.945696715,sit
0.362568362,2.131447134,2.592220862,4.536023372,-0.925197439,0.202662732,-0.095768238,20.12701746,4.332729162,0.947011174,27.74071677,-1.780790991,sit
-0.484826191,1.59416433,2.166742018,2.537419818,0.007097301,-0.253973373,0.00175592,26.54566165,5.143416263,0.251262357,41.70508409,-2.950484418,sit
-0.084023811,1.37276007,0.218173539,1.881548551,57.34552035,549.1995148,22.21909441,3.425861132,0.642134144,0.173928843,18.92334892,4.052721397,sit
-0.064550782,1.029636448,0.864329257,1.058507569,0.533372489,1.221130091,0.489767158,4.481777662,0.736997232,0.577216131,10.58733286,2.392050596,sit
-0.021190588,0.788329169,0.861854487,0.620499371,0.08409469,0.605230634,0.172050745,3.22480134,0.727395279,0.239771413,11.64029893,-0.989327144,sit
-1.02049358,2.977255334,3.456663101,8.850495734,24.59677722,2.225845152,0.934171927,44.75752361,8.52187005,2.896891674,17.38688313,-0.82522704,sit
0.360395747,1.934384025,1.950632525,3.736120088,1.374882745,1.213637799,0.190385742,23.1714895,4.946277275,1.214198189,25.4347468,-1.277895325,sit
0.059153992,1.416127512,0.332714577,2.002350743,67.13487048,588.0338071,23.69397498,5.17388908,0.970796292,0.355254566,18.35640288,3.541783656,sit
0.409098359,1.270639608,1.463139685,1.612056321,0.555745467,2.413950395,0.271522368,15.69627793,3.014854554,0.683654928,17.76669205,-0.658993577,sit
0.298713245,1.142884096,1.38459678,1.304186834,0.715681288,0.298167166,0.480518315,7.400399566,2.253158874,0.638623751,58.87914857,-5.789627818,sit
0.129057176,0.807339953,0.853665837,0.650801168,0.582126479,1.850407423,1.108778686,11.40618766,2.690480884,0.11462941,62.52240984,-5.536575317,sit
-0.854920177,2.935851775,3.576408715,8.604666142,68.2981107,22.74815136,2.705874521,41.98659341,9.73713188,2.428981064,34.74498129,-2.787335751,sit
-0.724687401,1.796729415,2.436682969,3.222783489,2.023113244,0.021562871,0.349682178,23.91730579,6.776898665,0.603063926,55.42185243,-5.385887047,sit
-0.50432305,1.13737716,1.302866097,1.291441624,-1.780425621,18.37486808,-1.213142075,14.72461796,2.618802976,0.365552039,21.56346785,0.600445603,sit
